order,video_id,Location,Other locations,Activity,Other activities,Activity center,Video description accuracy (1-5),Location not in schema,Activity not in schema
1,001_00320001_2024-10-20_4_89de9fca76_processed_043.mp4,hallway,,conversing,"looking at device, walking",AC,2,,
2,002_00240001_2024-11-06_2_3a7315e875_processed_040.mp4,bedroom,,other,"sitting, crawling, exploring",AC,4,,obtaining something
3,003_00400001_2023-06-21_2_78f629b94b_processed_076.mp4,bedroom,,exploring,crawling,CC,5,,
4,004_00320002_2024-06-03_1_e20fa612a1_processed_043.mp4,laundry room,hallway,being held,"other, walking",JA,4,,getting clothes out of the washing machine
5,005_00500001_2023-08-22_2_4da871d02e_processed_050.mp4,living room,,walking,"sitting, exploring",AC,2,,
6,006_00240001_2023-12-16_2_8e3bb038e0_processed_042.mp4,living room,,eating,other,JA,3,,feeding the infant
7,007_00320001_2024-05-11_2_78ccaae9f1_processed_039.mp4,office,,looking at device,"walking, exploring",AC,4,,
8,008_00820001_2023-05-06_2_578b918303_processed_007.mp4,bedroom,,playing,standing,CC,4,,
9,009_00680001_2023-05-07_2_c4f79965be_processed_018.mp4,garden,,exploring,walking,CC,5,,
10,010_00420001_2024-06-21_1_1fc3e7b968_processed_014.mp4,living room,,playing,other,CC,1,,riding a toy
11,011_00400001_2024-12-01_3_b4c2dc7192_processed_069.mp4,closet,,playing,,CC,2,,
12,012_00400002_2024-01-06_2_d6accc9902_processed_018.mp4,bedroom,,playing,standing,CC,5,,
13,013_00400003_2024-04-12_1_78fc11d62d_processed_057.mp4,garage,,playing,"sitting, standing",JA,3,,
14,014_00510001_2024-04-13_2_c4a790bb60_processed_011.mp4,living room,,other,"standing, exploring",AC,5,,playing piano
15,015_00400001_2023-11-19_1_8c79b13b9b_processed_076.mp4,balcony,,walking,"exploring, crawling, other",AC,3,,removing cushions
16,016_00400002_2024-01-13_1_a58c2f7862_processed_019.mp4,garage,car,other,standing,AC,4,,looking for something in the purse
17,017_00400001_2023-09-22_1_9977c9d6dd_processed_008.mp4,living room,hallway,being held,"sitting, looking at device",JA,5,,
18,018_00320003_2024-07-07_1_1a765e701a_processed_057.mp4,living room,,playing,,CC,4,,
19,019_00500001_2024-08-17_1_5d8718d35d_processed_039.mp4,living room,,playing,sitting,AC,3,,
20,020_00590001_2024-09-20_1_cf3e9710d7_processed_015.mp4,outside,,crawling,,CC,4,,
21,021_00400002_2024-06-23_3_1b2351cdfe_processed_059.mp4,kitchen,,crying,"lying down, walking",AC,3,,
22,022_00510002_2024-11-12_1_2e81fea59c_processed_055.mp4,living room,,reading,being held,JA,5,,
23,023_00400001_2023-09-23_1_3aa820473e_processed_057.mp4,dining room,living room,looking at device,,CC,4,,
24,024_00430001_2023-10-06_1_9bf374e81c_processed_054.mp4,kitchen,living room,conversing,"cleaning, playing",JA,1,,
25,025_00400001_2023-09-28_1_ffe2cfdbd3_processed_064.mp4,kitchen,,being held,,JA,1,,
26,026_00320001_2024-02-17_3_195c6f8833_processed_038.mp4,dining room,,walking,sitting,AC,4,,
27,027_00240001_2023-11-25_2_c9f28edff3_processed_068.mp4,living room,,sitting,being held,JA,4,,
28,028_00490001_2023-12-28_1_4d2984425d_processed_040.mp4,outside,,other,"exploring, sitting",JA,1,,sitting in a stroller that is moved by the caregiver
29,029_00400001_2024-08-27_1_9627aa4127_processed_016.mp4,living room,,looking at device,sitting,CC,3,,
30,030_00720001_2023-06-28_5_86314804a3_processed_039.mp4,living room,,playing,,CC,3,,
31,031_00820001_2024-05-03_3_9adf23fca6_processed_026.mp4,garden,,sitting,other,CC,3,,observing dogs
32,032_00370001_2024-05-05_3_97bfed6698_processed_022.mp4,garage,hallway,sitting,"being held, other",JA,2,,getting off the car
33,033_00240001_2023-12-08_1_30326063f1_processed_067.mp4,dining room,,eating,reading,AC,3,,
34,034_00220001_2024-03-06_1_2a74025141_processed_008.mp4,dining room,,conversing,eating,JA,3,,
35,035_00370001_2024-02-10_4_d2cfc75810_processed_063.mp4,living room,,playing,,CC,3,,
36,036_00400003_2024-05-30_3_ac6e331884_processed_004.mp4,living room,,looking at device,sitting,JA,5,,
37,037_00820001_2023-07-09_1_fd9fec6baf_processed_042.mp4,bathroom,,cleaning,,AC,4,,
38,038_00400002_2024-01-13_3_7ca2b2ad65_000.mp4,outside,,cleaning,"crying, lying down",AC,3,,
39,039_00400001_2024-06-30_3_a69c8e8ddb_processed_034.mp4,dining room,,playing,"walking, exploring",CC,5,,
40,040_00240001_2024-10-06_3_6c66db99a8_processed_023.mp4,living room,,playing,,CC,4,,
41,041_00500001_2023-12-10_1_e07a848172_processed_059.mp4,living room,,looking at device,"eating, playing",JA,4,,
42,042_00400002_2024-02-11_3_cf658e4a38_processed_030.mp4,bedroom,,playing,,CC,3,,
43,043_00560001_2023-05-01_1_24d3b95737_processed_066.mp4,outside,,eating,sitting,JA,4,,
44,044_00320001_2024-03-16_1_bd51e5a866_processed_000.mp4,living room,,playing,sitting,CC,3,,
45,045_00820001_2024-04-09_2_cc52cacdcd_processed_078.mp4,bathroom,,reading,,JA,4,,
46,046_00320001_2024-03-10_3_2825d75568_processed_032.mp4,living room,office,being held,playing,JA,3,,
47,047_00360001_2024-10-30_2_04f91de1ba_processed_005.mp4,living room,,playing,,CC,2,,
48,048_00230001_2024-04-14_1_da1653faac_processed_007.mp4,dining room,kitchen,eating,sitting,AC,5,,
49,049_00240001_2023-11-26_1_bd6fb31b2c_processed_096.mp4,dining room,,eating,other,JA,4,,feeding
50,050_00370001_2024-11-23_3_36b0eea465_processed_087.mp4,living room,,conversing,playing,AC,2,,
51,051_00390001_2024-08-23_1_d4be717890_processed_012.mp4,living room,,reading,"crawling, exploring",JA,4,,
52,052_00320002_2024-09-05_2_946f306519_processed_023.mp4,dining room,living room,looking at device,eating,CC,5,,
53,053_00510002_2024-10-07_2_0cc5319500_processed_065.mp4,kitchen,,other,,AC,2,,looking for some tool
54,054_00370002_2024-09-29_1_2c3456c8fe_processed_047.mp4,kitchen,,being held,cooking,JA,4,,
55,055_00320002_2024-05-28_3_c99c7a039e_processed_070.mp4,kitchen,,other,sitting,AC,4,,pouring something
