_id,videoFilename,annotatorName,__v,anyoneInteracting,description,otherActivities[0],otherActivities[1],otherActivities[2],otherActivitiesConfidence,primaryActivity,primaryActivityConfidence,updatedAt,attemptNumber,isTraining,taskType
69603caf87297accb9f16661,00220001_2024-03-06_1_2a74025141_processed_008.mp4,tsepuri,0,yes,,looking around,,,3,conversing,2,2026-01-08T23:24:31.354Z,,,
696411fc87297accb9fbcb69,00220001_2024-03-06_1_2a74025141_processed_008.mp4,elenahc,0,yes,,conversing,,,3,meal time,3,2026-01-11T21:11:24.174Z,,,
6964122f87297accb9fbcbfc,00230001_2024-04-14_1_da1653faac_processed_007.mp4,elenahc,0,no,,looking around,,,2,meal time,3,2026-01-11T21:12:15.233Z,,,
6964125f87297accb9fbcc88,00240001_2023-11-25_2_c9f28edff3_processed_068.mp4,elenahc,0,no,,none,,,3,looking around,2,2026-01-11T21:13:03.704Z,,,
6964127487297accb9fbccce,00240001_2023-11-26_1_bd6fb31b2c_processed_096.mp4,elenahc,0,yes,,conversing,,,2,meal time,3,2026-01-11T21:13:24.479Z,,,
696412af87297accb9fbcd77,00240001_2023-12-08_1_30326063f1_processed_067.mp4,elenahc,0,yes,,meal time,reading,,3,conversing,2,2026-01-11T21:14:23.932Z,,,
696412c587297accb9fbcdbe,00240001_2023-12-16_2_8e3bb038e0_processed_042.mp4,elenahc,0,yes,,none,,,3,meal time,3,2026-01-11T21:14:45.747Z,,,
6964130787297accb9fbce7c,00240001_2024-06-02_2_43f6a17f68_processed_045.mp4,elenahc,0,yes,,meal time,,,3,looking around,2,2026-01-11T21:15:51.878Z,,,
6964132d87297accb9fbceed,00240001_2024-09-08_4_f03def9007_processed_003.mp4,elenahc,0,no,,reading,,,2,playing,2,2026-01-11T21:16:29.330Z,,,
6964136487297accb9fbcf8c,00240001_2024-10-06_3_6c66db99a8_processed_023.mp4,elenahc,0,no,,none,,,3,playing,3,2026-01-11T21:17:24.052Z,,,
6964138c87297accb9fbd009,00240001_2024-11-06_2_3a7315e875_processed_040.mp4,elenahc,0,yes,,reading,,,2,playing,2,2026-01-11T21:18:04.590Z,,,
696413bf87297accb9fbd09e,00320001_2023-12-06_2_b65b83c560_processed_079.mp4,elenahc,0,no,,playing,,,1,looking around,3,2026-01-11T21:18:55.792Z,,,
696413e387297accb9fbd109,00320001_2024-02-17_3_195c6f8833_processed_038.mp4,elenahc,0,no,,looking around,,,2,meal time,3,2026-01-11T21:19:31.676Z,,,
6964141787297accb9fbd1a0,00320001_2024-02-23_2_b9b9b6bd6f_processed_070.mp4,elenahc,0,yes,,conversing,playing,,2,moving around,3,2026-01-11T21:20:23.070Z,,,
6964144287297accb9fbd229,00320001_2024-03-10_3_2825d75568_processed_032.mp4,elenahc,0,yes,,none,,,2,playing,3,2026-01-11T21:21:06.833Z,,,
6964145f87297accb9fbd27c,00320001_2024-03-16_1_bd51e5a866_processed_000.mp4,elenahc,0,yes,,none,,,2,playing,3,2026-01-11T21:21:35.499Z,,,
