"","video_path","location_options","location_probs","location","activity_options","activity_probs","activity","superseded_gcp_name_feb25","chunk_num","start_time","end_time","activities_weighted","locations_chunked"
"1","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_000.mp4","bathroom","1.0","bathroom","exploring,nothing,looking,looking at device","0.37,0.2,0.18,0.18","exploring","00320002_2024-08-31_1_4e6440f919",0,0,10,"nothing","bathroom"
"2","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_001.mp4","bathroom","1.0","bathroom","nothing,looking,looking at device,playing with toy,playing with adult","0.28,0.1,0.1,0.25,0.14","nothing","00320002_2024-08-31_1_4e6440f919",1,10,20,"exploring","bathroom"
"3","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_002.mp4","bathroom","1.0","bathroom","exploring,nothing,looking","0.61,0.18,0.15","exploring","00320002_2024-08-31_1_4e6440f919",2,20,30,"exploring","bathroom"
"4","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_003.mp4","bathroom","1.0","bathroom","exploring,looking","0.76,0.15","exploring","00320002_2024-08-31_1_4e6440f919",3,30,40,"exploring","bathroom"
"5","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_004.mp4","bathroom","1.0","bathroom","clipping nails,exploring,cleaning","0.29,0.54,0.11","exploring","00320002_2024-08-31_1_4e6440f919",4,40,50,"exploring","bathroom"
"6","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_005.mp4","bathroom","1.0","bathroom","clipping nails","0.96","clipping nails","00320002_2024-08-31_1_4e6440f919",5,50,60,"clipping nails","bathroom"
"7","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_006.mp4","bathroom","1.0","bathroom","nothing","0.95","nothing","00320002_2024-08-31_1_4e6440f919",6,60,70,"nothing","bathroom"
"8","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_007.mp4","bathroom","1.0","bathroom","clipping nails,nothing,looking,looking at device,playing with adult","0.18,0.33,0.14,0.14,0.12","nothing","00320002_2024-08-31_1_4e6440f919",7,70,80,"nothing","bathroom"
"9","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_008.mp4","bathroom","1.0","bathroom","clipping nails","1.0","clipping nails","00320002_2024-08-31_1_4e6440f919",8,80,90,"clipping nails","bathroom"
"10","/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00320002_2024-08-31_1_4e6440f919_processed/00320002_2024-08-31_1_4e6440f919_processed_009.mp4","bathroom","1.0","bathroom","nothing,looking,looking at device,playing with toy,playing with adult","0.22,0.12,0.12,0.38,0.14","playing with toy","00320002_2024-08-31_1_4e6440f919",9,90,100,"clipping nails","bathroom"
