video_name,from_location,to_location,from_chunks_count,to_chunks_count,transition_chunk,from_start_chunk,from_end_chunk,to_start_chunk,from_video_path,to_video_path
00240001_2024-07-12_1_aafb906c19,dining room,kitchen,37,15,31,12,30,31,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_030.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_031.mp4
00240001_2024-07-12_1_aafb906c19,kitchen,dining room,29,6,46,31,45,46,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_045.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_046.mp4
00240001_2024-07-12_1_aafb906c19,dining room,kitchen,11,8,52,46,51,52,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_051.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_052.mp4
00240001_2024-07-12_1_aafb906c19,kitchen,dining room,15,5,60,52,59,60,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_059.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_060.mp4
00240001_2024-07-12_1_aafb906c19,dining room,kitchen,9,11,65,60,64,65,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_064.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00240001_2024-07-12_1_aafb906c19_processed/00240001_2024-07-12_1_aafb906c19_processed_065.mp4
00270001_2024-03-19_H08M45S10_fc1787b120,living room,playroom,10,20,10,0,9,10,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00270001_2024-03-19_H08M45S10_fc1787b120/00270001_2024-03-19_H08M45S10_fc1787b120_009.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00270001_2024-03-19_H08M45S10_fc1787b120/00270001_2024-03-19_H08M45S10_fc1787b120_010.mp4
00370001_2024-04-20_1_a40a23a1b6,living room,playroom,11,8,7,1,6,7,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370001_2024-04-20_1_a40a23a1b6_processed/00370001_2024-04-20_1_a40a23a1b6_processed_006.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370001_2024-04-20_1_a40a23a1b6_processed/00370001_2024-04-20_1_a40a23a1b6_processed_007.mp4
00370001_2024-04-20_1_a40a23a1b6,playroom,living room,15,7,15,7,14,15,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370001_2024-04-20_1_a40a23a1b6_processed/00370001_2024-04-20_1_a40a23a1b6_processed_014.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370001_2024-04-20_1_a40a23a1b6_processed/00370001_2024-04-20_1_a40a23a1b6_processed_015.mp4
00370001_2024-04-20_1_a40a23a1b6,playroom,living room,5,24,25,22,24,25,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370001_2024-04-20_1_a40a23a1b6_processed/00370001_2024-04-20_1_a40a23a1b6_processed_024.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370001_2024-04-20_1_a40a23a1b6_processed/00370001_2024-04-20_1_a40a23a1b6_processed_025.mp4
00370002_2024-04-14_3_14a09138ad,bedroom,kitchen,75,36,40,2,39,40,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370002_2024-04-14_3_14a09138ad_processed/00370002_2024-04-14_3_14a09138ad_processed_039.mp4,/ccn2/dataset/babyview/unzip_2025_10s_videos_512p/00370002_2024-04-14_3_14a09138ad_processed/00370002_2024-04-14_3_14a09138ad_processed_040.mp4
